auto_clan	clan_description	number_archs	group_concat(distinct(pfamnr))	clan_comment
137	HAD superfamily	668	PF03031,PF00702,PF03767,PF05152,PF03332,PF05116,PF02358,PF05761,PF05822,PF06888,PF06941,PF08235,PF08282,PF08645,PF09419,PF12689,PF12710,PF13242,PF13246,PF13344,PF13419	This clan represents the haloacid dehalogenase (HAD) superfamily that includes a diverse range of enzymes that use an asp carboxylate as a nucleophile [1].
139	Amino acid biosynthesis and glycosomal dehydrogenase	30	PF02800,PF02774	This clan contains the C terminal domains of dehydrogenase enzymes involved in the biosynthesis of arginine, aspartate and aspartate derived amino acids.  It also contains the C terminal domain of GAPDH, a dehydrogenase involved in glycolysis and gluconeogenesis.
140	Viral nucleic acid binding	5	PF01623,PF04808,PF05515	This clan contains viral nucleic acid binding protein families. Two of the families in this clan are known to contain zinc finger motifs [1][2].
141	MtN3-like	53	PF04193,PF00810,PF03083,PF03650,PF07578	This clan contains the MtN3/saliva family whose members are thought to be transmembrane proteins.  The proteins in the MtN3/saliva family are known to be involved in root nodule development [1] and in expression of recombination activation genes (RAGs) [2].  The other families in this clan are poorly characterised.  
142	Membrane and transport protein	57	PF00950,PF05145,PF02653,PF01032,PF01098,PF08566	This clan contains membrane proteins involved in the transport of molecules including amino acids sugars and signalling molecules. It also includes integral membrane cell cycle proteins and some putative ammonia monooxygenases.
143	Beta fructosidase superfamily	246	PF04041,PF00251,PF04616,PF03664,PF02435	This beta fructosidase superfamily [4] is composed of glycosyl hydrolase families.  The members of this clan adopt a five-bladed beta-propeller fold [2-3]. The beta-fructosidase superfamily is also known as furanosidase superfamily [4].
144	Periplasmic binding protein like	305	PF01094,PF02608,PF04392,PF04348,PF00532,PF13377,PF13407,PF13433,PF13458	This clan includes proteins involved in chemotaxis, membrane transport of sugars and allocrites, and the LacI family transcriptional regulators.  It also includes some antigenic basic membrane lipoproteins.
145	Golgi-transport	109	PF04136,PF03114,PF06456,PF06730,PF08397,PF09325,PF10455,PF10456	This clan contains families that are involved in intracellular transport and signalling.\t\t    Arfaptins are proteins which interact with small GTPases involved in vesicular budding at the Golgi complex.  They form an elongated dimer of three helix coiled coils and are structurally very similar to the BAR domain [1][2]. The Sec34 family is involved in tethering vesicles to the Golgi [3].
146	Herpes glycoprotein	3	PF03554,PF05702	This clan contains herpes envelope glycoproteins [1][2].
147	Trafficking protein	23	PF05008,PF03908,PF12352	The members of this clan are involved in protein trafficking. The Sec20 family are integral membrane proteins involved in ER to Golgi transport [1] and V-SNARES are involved in membrane fusion [2].
148	Viral Gag protein	91	PF00607,PF02093	This clan contains Gag proteins which are involved in viral assembly and replication [1][2].  
149	CoA-dependent acyltransferase superfamily	1462	PF00198,PF00755,PF02458,PF00302,PF00668,PF03007,PF07247	All characterised families in this clan are involved in CoA-dependent acyltransferase. All families have a characteristic HXXXD motif.
151	Pyruvate kinase-like TIM barrel superfamily	115	PF03328,PF00463,PF01274,PF02548,PF02896,PF00311,PF00224,PF13714,PF14010	This superfamily consists of a number of TIM barrel domains found in enzymes such as pyruvate kinase, malate synthase and citrate lyase.
153	dUTPase like superfamily	40	PF04489,PF00692,PF04797,PF05784,PF06284,PF06501,PF06559	This clan contains dUTPase and many viral proteins that appear to be related. dUTPases are important in virus replication.
154	C2 superfamily	578	PF00168,PF00792,PF07162,PF08910,PF10358,PF14180,PF14186,PF14429	This superfamily includes C2 domains and C2-like domains.
155	Carbohydrate binding domain 14/19 clan	136	PF01607,PF03427	This clan includes two different carbohydrate binding modules.
156	Mononegaviral nucleocapsid superfamily	2	PF00973,PF05505	This clan contains paramyxoviral and ebola type virus nucleocapsid proteins.
157	Kleisin superfamily	10	PF02616,PF04824	The kleisin superfamily includes ScpA, Scc1, Rec8, and Barren [1]. Scc1 interacts with SMC proteins through N- and C-terminal domains to form a ring-like structure [1].
158	Glycoside hydrolase/deacetylase superfamily	197	PF01522,PF01074,PF03065,PF03746,PF10096	This superfamily contains diverse enzymes that act on carbohydrates including both hydrolases and deacetylases.
159	Ig-like fold superfamily (E-set)	6982	PF02369,PF00801,PF04151,PF02010,PF01833,PF00927,PF01835,PF02883,PF02368,PF00028,PF03174,PF04234,PF01345,PF00630,PF00041,PF02494,PF03404,PF00345,PF01108,PF05345,PF05753,PF06030,PF06280,PF06312,PF06832,PF07140,PF07495,PF07523,PF07532,PF07705,PF08266,PF08329,PF08428,PF08441,PF08758,PF08770,PF09067,PF09099,PF09134,PF09240,PF09294,PF09315,PF10029,PF10633,PF11614,PF11974,PF12245,PF12690,PF12733,PF13205,PF13287,PF13290,PF13573,PF13585,PF13629,PF13750,PF13752,PF13753,PF13754,PF13860	This clan includes a diverse range of domains that have an Ig-like fold and appear to be distantly related to each other. The clan includes: PKD domains, cadherins and several families of bacterial Ig-like domains as well as viral tail fibre proteins. it also includes several Fibronectin type III domain-containing families.
160	Cobalamin-independent synthase	28	PF01717,PF01208,PF08267	The N-terminal and C-terminal cobalamin-independent synthase domains are structurally similar, adopting a TIM beta/alpha barrel. However, the two domain perform functionally different roles. The N-terminal domain and C-terminal domains both define a catalytic cleft in the enzyme.  The N-terminal domain is thought to bind the substrate, in particular, the negatively charged polyglutamate chain.  The N-terminal domain is also thought to stabilise a loop from the C-terminal domain. The C-terminal domain contains the active site residues[1].
161	GAF domain-like	2495	PF01590,PF01614,PF03472,PF04340,PF00360,PF06018,PF11152,PF11849,PF13185,PF13492	A clan of related transcriptional regulator domains.
162	F-box associated	42	PF07734,PF08268	Clan containing related F-box associated families.
163	Calcineurin-like phosphoesterase superfamily	479	PF00149,PF04042,PF06874,PF09423,PF09587,PF12850,PF13277	This clan contains the calcineurin-like phosphoesterases. This clan also includes the apparently inactive homologues from the small DNA polymerase subunits [1].
164	CUB clan	509	PF00431,PF02408	This clan contains the CUB domain [1,2].
165	Cache-like domain	313	PF02743,PF08269,PF10388,PF13687,PF13777	The Cache domain an extracellular domain that is thought to have a role in small-molecule recognition in a wide range of proteins, including the animal Ca(2+)-channel subunits and a class of prokaryotic chemotaxis receptors [1].
166	PRD domain superfamily	96	PF00874,PF08270	The PRD domain (for PTS Regulation Domain), is the phosphorylatable regulatory domain found in bacterial transcriptional antiterminator of the BglG family as well as in activators such as MtlR and LevR. The PRD domain is phosphorylated on a conserved histidine residue. PRD-containing proteins are involved in the regulation of catabolic operons in Gram+ and Gram- bacteria and are often characterised by a short N-terminal effector domain that binds to either RNA (CAT-RBD for antiterminators (Pfam:PF03123, see also comments for this family)) or DNA (for activators), and a duplicated PRD module which is phosphorylated on conserved histidines by the sugar phosphotransferase system (PTS) in response to the availability of carbon source. The phosphorylations are thought to modify the stability of the dimeric proteins and thereby the RNA- or DNA-binding activity of the effector domain.
167	Zinc beta-ribbon	1148	PF05129,PF00320,PF01529,PF03604,PF03966,PF03811,PF04606,PF01783,PF01780,PF01599,PF01667,PF02150,PF01096,PF01396,PF01807,PF00641,PF01258,PF05810,PF06093,PF06677,PF06827,PF06839,PF07191,PF07282,PF07754,PF08271,PF08272,PF08273,PF08274,PF08772,PF08792,PF09151,PF09297,PF09526,PF09723,PF09889,PF09947,PF10571,PF11781,PF11792,PF12760,PF12773,PF13240,PF13248,PF13342,PF13408,PF13453,PF13717,PF13719,PF13842	A clan of zinc-binding ribbon domains.
168	PAN-like	325	PF00024,PF08276,PF08277,PF14295	PAN domains have significant functional versatility fulfilling diverse biological functions by mediating protein-protein or protein-carbohydrate interactions [1].  These domains contain a hair-pin loop like structure, similar to knottins, but the pattern of disulphide bonds differs.
169	Rep-like domain	50	PF03432,PF00799,PF01076,PF03389,PF01446,PF02217,PF02407,PF05840,PF07232	This clan includes replication proteins for viruses and plasmids. This domain is known to bind DNA. The members of this clan have three motifs.  The central HXH is conserved in most families in the clan.
170	Peptidase MD	107	PF01085,PF01427,PF03411,PF02557,PF05951,PF08291,PF13539	This clan is comprised of carboxypeptidases and the N-terminal domain from Sonic hedgehog proteins.  The structure of the latter is similar to the peptidases, but the N-terminal domain of hedgehog has been demonstrate not to be involved in peptidase activity, but is more likely involved in signal transduction [1].
171	inositol polyphosphate 1 phosphatase like superfamily	44	PF00316,PF03320,PF00459	Members of this clan show metal-dependent / lithium sensitive phosphomonoesterase activity. The clan includes inositol polyphosphate 1 phosphatase and fructose 1,6-bisphosphatase [1]. 
172	Thioredoxin-like	848	PF04756,PF00578,PF03960,PF01216,PF02966,PF01323,PF03190,PF00462,PF00255,PF02798,PF02114,PF02630,PF04592,PF04908,PF00837,PF00085,PF05768,PF05988,PF06110,PF06953,PF07449,PF07511,PF07689,PF07912,PF07955,PF08534,PF09695,PF10484,PF10568,PF10865,PF13098,PF13192,PF13409,PF13417,PF13462,PF13728,PF13741,PF13743,PF13778,PF13848,PF13899,PF13905,PF13911	This clan contains families related to the thioredoxin family. Thioredoxins are small enzymes that are involved in redox reactions via the reversible oxidation of an active centre disulfide bond. The thioredoxin fold consists of a 3 layer alpha/beta/alpha sandwich and a central beta sheet.
173	STIR superfamily	811	PF01582,PF08357,PF08937,PF13676	Both members of this clan are thought to be involved in TOLL/IL1R-like pathways, by mediating protein-protein interactions between pathway components. The N-termini of SEFIR and TIR domains are similar, but the domains are more divergent towards the C-terminus [1].
174	TetR protein, C-terminal domain-like	34	PF02909,PF08359,PF08360,PF08361,PF08362,PF09209,PF13977,PF14246	This clan features families of transcriptional regulators for multidrug efflux pumps, which belong to the TetR superfamily. They are induced by the presence of a variety of factors, such as antibiotics or organic solvents. The C-terminal region featured in these families is thought to contain the inducer-binding site; the divergent sequences in this region allow for the binding of a variety of different inducers [1-4].
175	TRASH superfamily	305	PF04438,PF01753,PF03884,PF04570,PF01246,PF04945,PF06467,PF08394,PF10013,PF12156,PF13824	TRASH-like domains contain well-conserved cysteine residues that are thought to be involved in metal coordination. These domains are thus expected to be involved in metal trafficking and heavy-metal resistance. It has been suggested that the members adopt a 'treble-clef' fold, with 3/4 beta strands preceding a C-terminal alpha helix [1].
176	Chemosensory 7tm receptor superfamily	35	PF03268,PF02949,PF06151,PF08395	The members of this clan are families of various gustatory and odorant receptors. They are described as being seven-transmembrane receptors, and in fact all show characteristic regions of hydrophobicity on the alignment.
177	Periplasmic binding protein clan	683	PF01634,PF03180,PF03466,PF01547,PF00497,PF02621,PF02030,PF04069,PF00496,PF03480,PF00405,PF03401,PF06646,PF09084,PF10613,PF12727,PF12849,PF12916,PF12974,PF13343,PF13379,PF13416,PF13531	Periplasmic binding proteins (PBPs) consist of two large lobes that close around the bound ligand. This architecture is reiterated in transcriptional regulators, such as the lac repressors. In the process of evolution, genes encoding the PBPs have fused with genes for integral membrane proteins. Thus, diverse mammalian receptors contain extracellular ligand binding domains that are homologous to the PBPs; these include glutamate/glycine-gated ion channels such as the NMDA receptor, G protein-coupled receptors, including metabotropic glutamate, GABA-B, calcium sensing, and pheromone receptors, and atrial natriuretic peptide-guanylate cyclase receptors [2].
178	PUA/ASCH superfamily	165	PF02190,PF01472,PF04146,PF04266,PF01878,PF03657,PF09142,PF09157,PF12961,PF14306	This clan consists of the RNA binding PUA domain and ASCH domain. It also contains uncharacterised protein families.
179	ATP-grasp superfamily	418	PF03133,PF02222,PF02786,PF02655,PF04174,PF01071,PF02955,PF02750,PF05770,PF06973,PF07478,PF08442,PF08443,PF13535,PF13549,PF14305,PF14397,PF14398,PF14403	The ATP-grasp domain is found in a wide variety of carboxylate-amine/thiol ligases [1]. It is composed of two subdomains, with ATP being bound in the cleft between the two.
181	ABC-2-transporter-like clan	201	PF03379,PF01061,PF06182,PF06422,PF12040,PF12051,PF12679,PF12698,PF12730,PF13346	These families are similar to the ABC-2 transporter subfamily, as described in [1] (Pfam:PF01061). Members of this family are involved in drug transport and resistance. CcmB protein family (Pfam:PF03379) members are also transporters; they are required for haem export into the periplasm [2].
182	IT (Ion Transporter) superfamily	108	PF02652,PF03806,PF02040,PF03600,PF03605,PF03606,PF04165,PF02447,PF03553,PF00939,PF02667,PF06450,PF06808,PF07158,PF07399,PF07854,PF13726	This superfamily of secondary carriers specific for cationic and anionic compounds, has been termed the ion transporter (IT) superfamily [1].
183	PAS domain clan	5708	PF00989,PF07310,PF08348,PF08446,PF08447,PF08448,PF08670,PF10114,PF12860,PF13188,PF13426,PF13596	This clan contains PAS domains that are found in a wide variety of bacterial signaling proteins.
184	Drug/Metabolite transporter superfamily	270	PF01545,PF04142,PF02535,PF02537,PF03151,PF04342,PF00892,PF04657,PF04955,PF00893,PF02694,PF05653,PF06027,PF06379,PF06800,PF07168,PF07857,PF08449,PF08627,PF10639,PF13536,PF13795	This clan contains a variety of transporters which have 4, 5, 9 or 10 membrane spanning helices. Many of the 10 membrane spanning transporters appear to be a duplication of the 5 spanning unit [1]. Many of these families contain a characteristic glycine rich motif close to the C-terminus.
186	Beta propeller clan	6220	PF01011,PF00780,PF03178,PF00930,PF01839,PF04762,PF01344,PF03022,PF01436,PF02897,PF00400,PF01731,PF04053,PF02239,PF05096,PF00058,PF03089,PF00415,PF03088,PF05567,PF05694,PF05787,PF05935,PF06433,PF06739,PF06977,PF07433,PF07494,PF07646,PF07676,PF07893,PF07995,PF08309,PF08450,PF08596,PF08662,PF08801,PF08954,PF09826,PF10282,PF10313,PF10647,PF11715,PF11768,PF12256,PF12894,PF13360,PF13415,PF13418,PF13449,PF13517,PF13540,PF13570,PF13854,PF13964,PF14269,PF14312	This large clan contains proteins that contain beta propellers. These are composed of between 6 and 8 repeats. The individual repeats are composed of a four stranded sheet. The clan includes families such as WD40 Pfam:PF00400 where the individual repeats are modeled.  The clan also includes families where the entire propeller is modeled such as Pfam:PF02239 usually because the individual repeats are not discernible. These proteins carry out a very wide diversity of functions including catalysis.
187	LysM-like domain	500	PF01476,PF04225,PF05489	The LysM domain (Pfam:PF01476) is thought to be a general peptidoglycan-binding module. Although originally described in bacterial proteins, it has been also found in some eukaryotic sequences. It takes up a beta-alpha-alpha-beta conformation, with the beta strands forming an antiparallel beta sheet and the two alpha helices packing on one side of this sheet [1].
188	Calponin homology domain	448	PF00307,PF06294,PF06395,PF11971	The calponin homology (CH) domain is found in a variety of contexts, ranging from proteins involved in signalling pathways to cytoskeletal proteins. They seem to have diverse cellular functions, which are thought to include actin binding, involvement in the MAP kinase signalling pathway, and regulation of GEF activity in Rho family GTPase pathways. Structurally, they are organised into three layers, with two parallel alpha helices in the core being sandwiched between another two helices, one on each side [1].
189	Endonuclease V-like superfamily	22	PF04493,PF08459	This clan contains DNA repair proteins.  In E. coli endonuclease V initiates DNA repair of deaminated DNA bases and has similarity to motifs required for the catalytic activity of the UvrC endonuclease [1].
190	HSP20-like chaperone superfamily	142	PF04969,PF00011,PF05455,PF08190,PF08959	The small heat shock proteins (sHSPs) prevent protein aggregation during heat shock and oppose regulated cell death. A conserved arginine residue in the HSP20/alpha-crystallin domain (Pfam:PF00011) has in fact been implicated in the development of cataracts and myopathies [1]. The CS family (Pfam:PF04969) includes proteins that are known to bind HSP90 [2], as well as p23 (Swiss:Q15185), which is an HSP90 co-chaperone [3].
191	POTRA domain superfamily	43	PF06898,PF07244,PF08478,PF08479	The polypeptide-transport-associated (POTRA) domain is predicted to be organised into three beta-strands and two alpha helices, the latter being found between strands 2 and 3. It is usually found associated with a beta-barrel outer membrane domain. It is thought to have a chaperone-like function; the proteins it is found in are involved in processes as diverse as bacterial septation and protein transport across membranes [1].
192	Family A G protein-coupled receptor-like superfamily	567	PF04789,PF01534,PF03125,PF00001,PF00002,PF01036,PF03383,PF02101,PF02117,PF02175,PF02118,PF03402,PF05296,PF05462,PF06681,PF06814,PF07698,PF10192,PF10292,PF10316,PF10317,PF10318,PF10319,PF10320,PF10321,PF10322,PF10323,PF10324,PF10325,PF10326,PF10327,PF10328,PF11710,PF11970,PF13853	This clan contains various seven-transmembrane receptors and related proteins. A major member is Pfam:PF00001, members of which have been considered to be typical members of the rhodopsin superfamily. Many members of this clan are Caenorhabditis proteins, suggesting great expansion of the relevant families in these nematode worms.
193	Outer membrane beta-barrel protein superfamily	434	PF03797,PF01103,PF03502,PF04338,PF04575,PF00267,PF03865,PF01856,PF02521,PF02264,PF01389,PF01278,PF03922,PF02462,PF04966,PF03573,PF04453,PF02530,PF01617,PF03349,PF00593,PF03249,PF00577,PF05275,PF05538,PF05736,PF06178,PF06316,PF06629,PF06980,PF07239,PF07396,PF07437,PF07642,PF09381,PF09411,PF09694,PF10082,PF10677,PF11059,PF11276,PF11336,PF11383,PF11751,PF12099,PF13505,PF13557,PF13568,PF13609,PF13729,PF14121	This clan gathers together a large set of beta barrel membrane proteins.Although these proteins have different numbers of beta strands in the barrel they have significant sequence similarity between families.
194	DNA polymerase B like	73	PF00136,PF03175,PF03337,PF08490	DNA polymerases replicate DNA by adding nucleotide triphosphate (dNTP) residues to the 5'-end of a growing chain of DNA.  They use a complementary DNA chain as a template.`
195	Duff-binding like superfamily	34	PF03011,PF05424	This clan includes DBL (Duffy-binding like) domains from a variety of plasmodium surface proteins.
196	DSRM-like clan	118	PF00035,PF00333	This clan contains RNA-binding domains.
197	GME superfamily	25	PF02274,PF04996,PF03068,PF04371	This superfamily contains a number of related enzymes such as AstB, peptidyl-arginine deiminase, arginine deiminase and amidinotransferase [1,2].
198	Helix-hairpin-helix superfamily	233	PF00633,PF02371,PF03934,PF00730,PF04994,PF06514,PF11372,PF11731,PF11798,PF12826,PF12836	This superfamily includes Helix-hairpin-helix DNA-binding domains.
199	Double Psi beta barrel glucanase	93	PF00967,PF02015,PF03330,PF06725,PF07249	The DPBB fold is often an enzymatic domain. The members of this family are quite diverse, and if catalytic this family may contain several different functions [1,2]. This clan represents the barwin like barrels.
200	Prefoldin	34	PF02996,PF01920,PF13758	The Prefoldin domain forms a coiled-coil structure that is involved in substrate-binding in the the chaperone co-factor prefoldin (PFD).  Each PFD is assembled from two alpha and four beta subunits. Each alpha subunit contains two, and each beta subunit one, central beta-hairpin that is flanked N- and C-terminally by coiled-coil helices. The N-terminal regions, the prefoldin domain, are found facing into the central cavity of the chaperone. Here exposed hydrophobic patches form an interaction with the substrate (an unfolded protein) [1].
201	Peptidase clan SH	11	PF04586,PF00716,PF03420	This clan includes the serine peptidase assemblin from herpes virus as well as other viral peptidase families predicted to be related [1].
202	Galactose-binding domain-like superfamily	2300	PF02018,PF03422,PF00754,PF04300,PF00629,PF01483,PF03561,PF03256,PF03425,PF03426,PF03424,PF04862,PF03944,PF01404,PF02837,PF00055,PF01834,PF06201,PF06588,PF07675,PF07738,PF07828,PF08530,PF08531,PF08547,PF13364	This large superfamily contains beta sandwich domains with a jelly roll topology. Many of these families are involved in carbohydrate recognition. Despite sharing little sequence similarity they do share a weak sequence motif, with a conserved bulge in the C-terminal beta sheet. The probable role of this bulge is in bending of the beta sheet that contains the bulge. This enables the curvature of the sheet forming the sugar binding site [1].
203	Carbohydrate binding domain superfamily	385	PF00942,PF00553,PF03173,PF00963,PF09478	This superfamily includes several carbohydrate binding domains. These domains have a beta sandwich structure.
204	Bacterial adhesin superfamily	116	PF04619,PF00419,PF03627,PF05229,PF05737,PF06551,PF12904	This superfamily includes a variety of bacterial adhesins that have a jelly-roll beta-barrel fold [1]. These domains are involved in sugar recognition.
205	Di-copper centre-containing domain	71	PF00372,PF00264	This superfamily includes tyrosinases and hemocyanins that share a di-copper centre [1].
206	Transcriptional repressor beta-barrel domain	26	PF02237,PF04023,PF06613	This beta-barrel domain is found at the C-terminus of a variety of transcriptional repressor proteins.
207	Integral membrane protein / protease	69	PF01694,PF04511,PF08551	This clan contains proteins from both bacteria and eukaryotes. The Rhomboid protein is an intramembrane serine protease which is involved in epidermal growth factor (EGF)-dependent signalling pathways [1]. The DER1 family is involved in degradation of misfolded ER proteins [2].
208	Ubiquitin conjugating enzyme like superfamily	186	PF00179,PF05743,PF05773,PF08694,PF14457,PF14460,PF14459,PF14461,PF14462	This superfamily includes a diverse set of proteins that bind to ubiquitin [1].
209	Bet V 1 like	203	PF01852,PF00407,PF02121,PF03364,PF00848,PF06240,PF08327,PF08982,PF10604,PF10698,PF11274,PF11485,PF11687,PF11723	The Bet_V_I family is composed of sequences related to the major Birch (Betula verrucose) pollen antigen Betv1.  This allergen is known to cause hayfever, dermatitis, asthma and occasionally anaphylactic shock.  The other families in this clan share the same structure as Betv1 which is composed of antiparallel beta sheets and alpha helices.  There is a cavity between the beta sheet and a long C terminal helix.  The cavity appears to play roles in the binding of lipid molecules [1][2][3] which seems a common feature of the families in this clan.
210	Heme NO and oxygen binding like	42	PF02830,PF06505,PF07700	This clan contains families that bind small molecules and are predominantly involved in signalling.  Members include the heme NO binding domain.  This domain is related to soluble guanylate cyclases and is mainly alpha helical in structure.\t      Other members of this clan include V4R, which is predicted to be a small molecule binding domain, and a domain often found adjacent to this that is found on activators of aromatic catabolism, and on signalling molecules.
212	SNARE-like superfamily	76	PF01217,PF04628,PF04099,PF07919,PF08626,PF12584,PF12742	This clan includes part of the SNARE like superfamily.
213	Sea anemone toxin k like	101	PF01549,PF08562	Members of this clan include the Crisp domain which is involved in ryanodine receptor Ca2+ signalling, and the ShK domain which is named after the ShK channel inhibitor toxin.  Both domains are cysteine rich and contain multiple disulphide bonds [1][2][3].
214	UBA superfamily	249	PF02845,PF03943,PF00627,PF03474,PF06972,PF07499,PF08587,PF09288	This superfamily includes domains related to the UBA domain. These domains are often involved in ubiquitin binding.
217	Rotavirus VP7 protein	2	PF00434,PF05868	This clan consists of several Rotavirus major outer capsid protein VP7 sequences. The rotavirus capsid is composed of three concentric protein layers. Proteins VP4 and VP7 comprise the outer layer. VP4 forms spikes and is the viral attachment protein. VP7 is a glycoprotein and the major constituent of the outer protein layer [1].
218	Oxidoreductase C terminal like	26	PF02894,PF08635	This clan contains the C terminal region of oxidoreductase proteins and putative oxidoreductase proteins.  Families in this clan form an alpha/beta structure and are usually found adjacent to an N terminal Rossman fold.
219	Ribonuclease H-like superfamily	1856	PF04857,PF03104,PF00929,PF02171,PF01351,PF00665,PF01609,PF01612,PF03184,PF04308,PF04827,PF02914,PF04848,PF00075,PF02075,PF00872,PF01359,PF01610,PF03050,PF03400,PF04693,PF06782,PF07066,PF07592,PF09159,PF09376,PF10108,PF10551,PF11074,PF12762,PF13017,PF13333,PF13358,PF13359,PF13456,PF13482,PF13546,PF13586,PF13610,PF13612,PF13613,PF13680,PF13683,PF13701,PF13737,PF13751,PF13843	This clan includes a diverse set of nucleases that share a similar structure to Ribonuclease H.
220	EF-hand like superfamily	1754	PF00036,PF05042,PF00404,PF01023,PF08726,PF09068,PF09069,PF09279,PF10591,PF12763,PF13202,PF13405,PF13499,PF13833	The EF hand is a calcium binding domain found in a wide variety of proteins [1].
221	RRM-like clan	895	PF04059,PF04847,PF05172,PF00276,PF00076,PF03467,PF03468,PF07576,PF08675,PF08777,PF08952,PF11608,PF13893,PF14259	This clan contains families that are related to the RNA recognition motif domains.  However, not all these families are RNA binding.
222	MviN, MATE-like superfamily	76	PF01554,PF03023,PF01943,PF04506,PF13440	This superfamily consists of a variety of integral membrane protein families. The MATE family are known to be transporters. Other proteins have been implicated in virulence and polysaccharide biosynthesis.
223	MACRO domain superfamily	110	PF01661,PF02789	This superfamily includes the Macro domain as well as the amino terminal domain from peptidase M17 proteins.
224	Dehydroquinate synthase-like superfamily	37	PF01761,PF00465,PF13685	This superfamily includes Dehydroquinate synthase and Iron containing alcohol dehydrogenase which have a similar active site organisation [1].
225	FtsL-like superfamily	8	PF04977,PF04999	This clan includes two proteins that are known to interact, FtsL and DivIC which are part of a trimeric complex with DivIB [2]. DivIC and FtsL are bacterial proteins essential for cell division.
226	Mannose 6-phosphate receptor	71	PF00878,PF02157,PF07915,PF09451,PF13015	This clan includes cation dependent and independent mannose 6-phosphate receptors.
227	Enolase N-terminal domain-like superfamily	30	PF03952,PF05034,PF02746	This domain is found at the N-terminus of the catalytic Tim barrel-like domain in enolase and other enzymes.
228	Acyltransferase clan	125	PF01553,PF03982,PF04028,PF03279	This clan includes several families of related acyltransferases.
229	Ring-finger/U-box superfamily	1461	PF04641,PF04564,PF00097,PF02891,PF02148,PF05883,PF08746,PF11789,PF11793,PF12678,PF12861,PF12906,PF13445,PF13639,PF13920,PF13923,PF14445,PF14446,PF14447	This clan includes the Ring zinc finger domains as well as the U-box domain that appears to have lost the zinc coordinating cysteine residues [1].
230	Heme oxygenase-like superfamily	34	PF01126,PF03070,PF11251,PF12981	This clan includes the Heme oxygenase family as well as the TENA/THI-4/PQQC family that are less well characterised [2].
231	all-alpha NTP pyrophosphohydrolase superfamily	36	PF04447,PF03819,PF01503,PF08761,PF12643	This superfamily includes MazG, HisE and dimeric dUTPases (Not yet in Pfam) [1].
232	NifU C-terminal domain-like superfamily	43	PF01883,PF01106	This clan includes the C-terminal domain of NifU as well as a large family of uncharacterised domains.
233	SufE/NifU superfamily	22	PF01592,PF02657	This clan includes iron sulfur cluster assembly proteins.
234	CTP transferase-like superfamily	16	PF01148,PF01864	This clan includes the integral membrane CTP transferase family as well as a large family of uncharacterised proteins that may also function as nucleotidyltransferases.
235	PspA/ESCRT-III	24	PF03357,PF04012	This clan includes PspA like proteins that are transcriptional activators as well as Snf7, a protein involved in cellular trafficking.
236	PD-(D/E)XK nuclease superfamily	578	PF04720,PF03749,PF02923,PF04556,PF02646,PF03008,PF04313,PF04411,PF04480,PF01930,PF01939,PF01771,PF01646,PF01870,PF04471,PF03838,PF04754,PF02021,PF03852,PF05367,PF05626,PF05685,PF06023,PF06054,PF06250,PF06319,PF06356,PF07788,PF08011,PF08373,PF08378,PF08634,PF08652,PF08696,PF08774,PF08814,PF09002,PF09019,PF09195,PF09563,PF09588,PF09623,PF09651,PF09659,PF09670,PF09810,PF09903,PF10117,PF10356,PF10881,PF10926,PF11103,PF12684,PF12705,PF12784,PF13156,PF13366,PF13588,PF13635,PF14281	This clan includes a large number of nuclease families related  to holliday junction resolvases [1,2].
237	HD/PDEase superfamily	605	PF01966,PF05153,PF00233,PF07514,PF08668,PF12917,PF13023,PF13328,PF13487,PF13735	This clan includes a range of phosphohydrolase enzymes with a common helical fold.
238	PP2C-like superfamily	573	PF00481,PF07228,PF13672	This clan includes the PP2C family of phosphatases as well as the SpoIIE family.  This suggests SpoIIE proteins may also be phosphatases.
239	Insulin-like superfamily	7	PF03488,PF00049	This superfamily includes the insulin like hormones.
240	PFK-like superfamily	127	PF00781,PF01513,PF00365	This clan includes two SCOP superfamilies. Strong similarities between NAD kinases, DAG kinase, sphingosine kinase and PFK have previously been shown[1].
241	ABC transporter membrane domain clan	165	PF00664,PF05992,PF06472,PF13748	This clan includes families that are the membrane components of ABC transporter complexes. In general these regions are composed of six transmembrane helices [1].
242	DNA primase large subunit like	7	PF04104,PF03041	This clan contains the large subunit of archaeal and eukaryotic DNA primase, an enzyme which synthesises the oligoribonucleotide primers essential to DNA replication.  The large subunit of DNA primase forms interactions with the small subunit and the structure implicates that it is not directly involved in catalysis, but plays a roles in correctly positioning the primase/DNA complex, and in the transfer of RNA to DNA polymerase [1].  The clan also contains the Lef-2 family, which is required for the expression of late genes.  There is some evidence to suggest that LEF2 binds to both DNA and the DNA primase small subunit LEF-1 [3].
243	Archaeo-eukaryotic primase	43	PF03090,PF01896,PF03121,PF08800	This clan includes the small subunit of 2 and eukaryotic DNA primase, and primase-helicase proteins from bacteriophages and plasmids.  All known cellular life forms use primases to synthesis a short RNA primer which is extended during DNA replication by a polymerase.  Bacterial DNA primase adopts a different fold to archaeal and eukaryotic primases and belongs to a different superfamily.
244	PGBD superfamily	294	PF01471,PF08823,PF09374	This clan consists of small putative peptidoglycan binding domains composed of three alpha helices.
