pfamnr	pfamdesc	interpronr	interprodesc
PF09074	Mer2	IPR015159	NULL
PF09075	Heat-stable enterotoxin B, secretory	IPR015160	NULL
PF09076	Streptomyces killer toxin-like	IPR015161	NULL
PF09077	Mu B transposition protein, C terminal 	IPR009084	NULL
PF09078	CheY binding	IPR015162	NULL
PF09079	CDC6, C terminal 	IPR015163	NULL
PF09080	K cyclin, C terminal	IPR015164	NULL
PF09081	Domain of unknown function (DUF1921)	IPR015165	NULL
PF09082	Domain of unknown function (DUF1922)	IPR015166	NULL
PF09083	Domain of unknown function (DUF1923)	IPR015167	NULL
PF09084	NMT1/THI5 like	IPR015168	NULL
PF09085	Adhesion molecule, immunoglobulin-like	IPR015169	NULL
PF09086	Domain of unknown function (DUF1924)	IPR015170	NULL
PF09087	Cyclomaltodextrinase, N-terminal	IPR015171	NULL
PF09088	MIF4G like	IPR015172	NULL
PF09089	Phage short tail fibre protein gp12, middle domain	IPR015173	NULL
PF09090	MIF4G like	IPR015174	NULL
PF09092	Lyase, N terminal	IPR015176	NULL
PF09093	Lyase, catalytic	IPR015177	NULL
PF09094	Domain of unknown function (DUF1925)	IPR015178	NULL
PF09095	Domain of unknown function (DUF1926)	IPR015179	NULL
PF09096	Baseplate structural protein, domain 2	IPR015180	NULL
PF09097	Baseplate structural protein, domain 1	IPR015181	NULL
PF09098	Quinohemoprotein amine dehydrogenase A, alpha subunit, haem binding	IPR015182	NULL
PF09099	Bacterial Ig-like domain (DUF1927)	IPR015183	NULL
PF09100	Domain of unknown function (DUF1928)	IPR015184	NULL
PF09101	Exotoxin A binding	IPR015185	NULL
PF09102	Exotoxin A, targeting	IPR015186	NULL
PF09103	BRCA2, oligonucleotide/oligosaccharide-binding, domain 1	IPR015187	NULL
PF09104	BRCA2, oligonucleotide/oligosaccharide-binding, domain 3	IPR015188	NULL
PF09105	Elongation factor SelB, winged helix 	IPR015189	NULL
PF09106	Elongation factor SelB, winged helix 	IPR015190	NULL
PF09107	Elongation factor SelB, winged helix 	IPR015191	NULL
PF09108	Switch protein XOL-1, N-terminal	IPR015192	NULL
PF09109	Switch protein XOL-1, GHMP-like	IPR015193	NULL
PF09110	HAND	IPR015194	NULL
PF09111	SLIDE	IPR015195	NULL
PF09112	Peptide-N-glycosidase F, N terminal	IPR015196	NULL
PF09113	Peptide-N-glycosidase F, C terminal	IPR015197	NULL
PF09114	Transcription factor MotA, activation domain	IPR015198	NULL
PF09115	DNA polymerase III, delta subunit, C terminal	IPR015199	NULL
PF09116	gp45 sliding clamp, C terminal	IPR015200	NULL
PF09117	MiAMP1	IPR015201	NULL
PF09118	Domain of unknown function (DUF1929)	IPR015202	NULL
PF09119	SicP binding	IPR015203	NULL
PF09121	Tower	IPR015205	NULL
PF09122	Domain of unknown function (DUF1930)	IPR015206	NULL
PF09123	Domain of unknown function (DUF1931)	IPR015207	NULL
PF09124	T4 recombination endonuclease VII, dimerisation	IPR015208	NULL
PF09125	Cytochrome C oxidase subunit II, transmembrane	IPR015209	NULL
PF09126	Restriction endonuclease NaeI 	IPR015210	NULL
PF09127	Leukotriene A4 hydrolase, C-terminal	IPR015211	NULL
PF09128	Regulator of G protein signalling-like domain	IPR015212	NULL
PF09129	Cholesterol oxidase, substrate-binding	IPR015213	NULL
PF09130	Domain of unknown function (DUF1932)	IPR015814	NULL
PF09131	Bacillus thuringiensis delta-Endotoxin, middle domain	IPR015214	NULL
PF09132	BmKX	IPR015215	NULL
PF09133	SANTA (SANT Associated)	IPR015216	NULL
PF09134	Invasin, domain 3	IPR015217	NULL
PF09135	Alb1	IPR022784	NULL
PF09136	Glucodextranase, domain B	IPR015219	NULL
PF09137	Glucodextranase, domain N	IPR015220	NULL
PF09138	Urm1 (Ubiquitin related modifier)	IPR015221	NULL
PF09139	Mitochondrial matrix Mmp37	IPR015222	NULL
PF09140	ATPase MipZ	IPR015223	NULL
PF09141	Talin, middle domain	IPR015224	NULL
PF09142	tRNA Pseudouridine synthase II, C terminal	IPR015225	NULL
PF09143	AvrPphF-ORF-2	IPR015226	NULL
PF09144	Yersinia pseudotuberculosis mitogen	IPR015227	NULL
PF09145	Ubiquitin-associated	IPR015228	NULL
PF09147	Domain of unknown function (DUF1933)	IPR015230	NULL
PF09148	Domain of unknown function (DUF1934)	IPR015231	NULL
PF09149	Domain of unknown function (DUF1935)	IPR015232	NULL
PF09150	Orange carotenoid protein, N-terminal 	IPR015233	NULL
PF09151	Domain of unknown function (DUF1936)	IPR015234	NULL
PF09152	Domain of unknown function (DUF1937)	IPR015235	NULL
PF09153	Domain of unknown function (DUF1938)	IPR015236	NULL
PF09154	Domain of unknown function (DUF1939)	IPR015237	NULL
PF09155	Domain of unknown function (DUF1940)	IPR015238	NULL
PF09156	Anthrax toxin lethal factor, middle domain	IPR015239	NULL
PF09157	Pseudouridine synthase II TruB, C-terminal	IPR015240	NULL
PF09158	Bacteriophage T4 MotA, C-terminal	IPR015241	NULL
PF09159	Mitochondrial resolvase Ydc2 / RNA splicing MRS1	IPR015242	NULL
PF09160	FimH, mannose binding	IPR015243	NULL
PF09162	Tap, RNA-binding	IPR015245	NULL
PF09163	Formate dehydrogenase N, transmembrane	IPR015246	NULL
PF09164	Vitamin D binding protein, domain III	IPR015247	NULL
PF09165	Ubiquinol-cytochrome c reductase 8 kDa, N-terminal	IPR015248	NULL
PF09166	Biliverdin reductase, catalytic	IPR015249	NULL
PF09167	Domain of unknown function (DUF1942)	IPR015250	NULL
PF09168	X-Prolyl dipeptidyl aminopeptidase PepX, N-terminal	IPR015251	NULL
PF09169	BRCA2, helical	IPR015252	NULL
PF09170	Domain of unknown function (DUF1879)	IPR015253	NULL
PF09171	Domain of unknown function (DUF1886)	IPR015254	NULL
PF09172	Domain of unknown function (DUF1943)	IPR015255	NULL
PF09173	Initiation factor eIF2 gamma, C terminal	IPR015256	NULL
PF09174	Maf1 regulator	IPR015257	NULL
PF09175	Domain of unknown function (DUF1944)	IPR015258	NULL
PF09176	Methylene-tetrahydromethanopterin dehydrogenase, N-terminal	IPR015259	NULL
PF09177	Syntaxin 6, N-terminal	IPR015260	NULL
PF09178	Domain of unknown function (DUF1945)	IPR015261	NULL
PF09179	TilS substrate binding domain	IPR015262	NULL
PF09180	Prolyl-tRNA synthetase, C-terminal	IPR016061	NULL
PF09181	Prolyl-tRNA synthetase, C-terminal	IPR015264	NULL
PF09182	Bacterial purine repressor, N-terminal	IPR015265	NULL
PF09183	Domain of unknown function (DUF1947)	IPR015266	NULL
PF09184	PPP4R2	IPR015267	NULL
PF09185	Domain of unknown function (DUF1948)	IPR015268	NULL
PF09186	Domain of unknown function (DUF1949)	IPR015269	NULL
PF09187	Domain of unknown function(DUF1950)	IPR015270	NULL
PF09188	Domain of unknown function (DUF1951)	IPR015271	NULL
PF09189	Domain of unknown function (DUF1952)	IPR015272	NULL
PF09190	DALR domain	IPR015273	NULL
PF09191	CD4, extracellular	IPR015274	NULL
PF09192	Actin-fragmin kinase, catalytic	IPR015275	NULL
PF09193	Cholecystokinin A receptor, N-terminal	IPR015276	NULL
PF09194	Restriction endonuclease BsobI	IPR015277	NULL
PF09195	Restriction endonuclease BglII	IPR015278	NULL
PF09196	Domain of unknown function (DUF1953)	IPR015279	NULL
PF09197	Rap1, DNA-binding	IPR015280	NULL
PF09198	Bacteriophage T4 beta-glucosyltransferase	IPR015281	NULL
PF09199	Domain of unknown function (DUF1954)	IPR015282	NULL
PF09200	Monellin	IPR015283	NULL
PF09201	SRX	IPR015284	NULL
PF09202	Rio2, N-terminal	IPR015285	NULL
PF09203	MspA	IPR015286	NULL
PF09204	Bacterial self-protective colicin-like immunity	IPR015287	NULL
PF09205	Domain of unknown function (DUF1955)	IPR015288	NULL
PF09206	Alpha-L-arabinofuranosidase B, catalytic	IPR015289	NULL
PF09207	Yeast killer toxin	IPR015290	NULL
PF09208	Restriction endonuclease MspI 	IPR015291	NULL
PF09209	Domain of unknown function (DUF1956)	IPR015292	NULL
PF09210	Domain of unknown function (DUF1957)	IPR015293	NULL
PF09211	Domain of unknown function (DUF1958)	IPR015294	NULL
PF09212	Carbohydrate binding module 27	IPR015295	NULL
PF09213	M3	IPR015296	NULL
PF09214	Bacteriophage Prd1, adsorption protein P2	IPR015297	NULL
PF09215	Bacteriophage T4, Gp8	IPR015298	NULL
PF09216	Pfg27	IPR015299	NULL
PF09217	Restriction endonuclease EcoRII, N-terminal	IPR023372	NULL
PF09218	Domain of unknown function (DUF1959)	IPR012056	NULL
PF09220	L-A virus, major coat protein	IPR015302	NULL
PF09221	Bacteriocin class IId cyclical uberolysin-like	IPR020038	NULL
PF09222	Fimbrial adhesin F17-AG, lectin domain	IPR015303	NULL
PF09223	YodA lipocalin-like domain	IPR015304	NULL
PF09224	Domain of unknown function (DUF1961)	IPR015305	NULL
PF09225	Restriction endonuclease PvuII	IPR015306	NULL
PF09226	Restriction endonuclease HincII	IPR015307	NULL
PF09227	Domain of unknown function (DUF1962)	IPR015308	NULL
PF09228	Prokaryotic Transcriptional repressor TraM	IPR015309	NULL
PF09229	Activator of Hsp90 ATPase, N-terminal	IPR015310	NULL
PF09230	DNA fragmentation factor 40 kDa	IPR015311	NULL
PF09231	Rice dwarf virus p3	IPR015312	NULL
PF09232	Caenorhabditis elegans Her-1	IPR015313	NULL
PF09233	Restriction endonuclease EcoRV	IPR015314	NULL
PF09234	Domain of unknown function (DUF1963)	IPR015315	NULL
PF09235	Ste50p, sterile alpha motif	IPR015316	NULL
PF09236	Alpha-haemoglobin stabilising protein	IPR015317	NULL
PF09237	GAGA factor	IPR015318	NULL
PF09238	Interleukin-4 receptor alpha chain, N-terminal	IPR015319	NULL
PF09239	Topoisomerase VI B subunit, transducer	IPR015320	NULL
PF09240	Interleukin-6 receptor alpha chain, binding	IPR015321	NULL
PF09241	Herpesviridae viral cyclin	IPR015322	NULL
PF09242	Flavocytochrome c sulphide dehydrogenase, flavin-binding	IPR015323	NULL
PF09243	Mitochondrial small ribosomal subunit Rsm22	IPR015324	NULL
PF09244	Domain of unknown function (DUF1964)	IPR015325	NULL
PF09245	Mycoplasma arthritidis-derived mitogen	IPR015326	NULL
PF09246	PHAT	IPR015327	NULL
PF09247	TATA box-binding protein binding	IPR009067	NULL
PF09248	Domain of unknown function (DUF1965)	IPR015328	NULL
PF09249	tRNA nucleotidyltransferase, second domain	IPR015329	NULL
PF09250	Bifunctional DNA primase/polymerase, N-terminal	IPR015330	NULL
PF09251	Salmonella phage P22 tail-spike	IPR015331	NULL
PF09252	Allergen Fel d I-B chain	IPR015332	NULL
PF09253	Pollen allergen ole e 6	IPR015333	NULL
PF09254	Restriction endonuclease FokI, C terminal	IPR015334	NULL
PF09255	Caf1 Capsule antigen	IPR015335	NULL
PF09256	BAFF-R, TALL-1 binding	IPR015336	NULL
PF09257	BCMA, TALL-1 binding	IPR015337	NULL
PF09258	Glycosyl transferase family 64 domain	IPR015338	NULL
PF09259	Fungal immunomodulatory protein Fve	IPR015339	NULL
PF09260	Domain of unknown function (DUF1966)	IPR015340	NULL
PF09261	Alpha mannosidase, middle domain	IPR015341	NULL
PF09262	Peroxisome biogenesis factor 1, N-terminal 	IPR015342	NULL
PF09263	Peroxisome biogenesis factor 1, N-terminal 	IPR015343	NULL
PF09264	Vibrio cholerae sialidase, lectin insertion	IPR015344	NULL
PF09265	Cytokinin dehydrogenase 1, FAD and cytokinin binding	IPR015345	NULL
PF09266	Viral DNA topoisomerase I, N-terminal	IPR015346	NULL
PF09267	Dictyostelium STAT, coiled coil	IPR015347	NULL
PF09268	Clathrin, heavy-chain linker	IPR015348	NULL
PF09269	Domain of unknown function (DUF1967)	IPR015349	NULL
PF09270	Beta-trefoil DNA-binding domain	IPR015350	NULL
PF09271	LAG1, DNA binding	IPR015351	NULL
PF09272	Hepsin, SRCR	IPR015352	NULL
PF09273	Rubisco LSMT substrate-binding	IPR015353	NULL
PF09274	ParG	IPR015354	NULL
PF09275	Pertussis toxin S4 subunit	IPR015355	NULL
PF09276	Pertussis toxin S5 subunit 	IPR015356	NULL
PF09277	Erythronolide synthase, docking	IPR015357	NULL
PF09278	MerR, DNA binding	IPR015358	NULL
PF09279	Phosphoinositide-specific phospholipase C, efhand-like	IPR015359	NULL
PF09280	XPC-binding domain	IPR015360	NULL
PF09281	Taq polymerase, exonuclease	IPR015361	NULL
PF09282	Mago binding	IPR015362	NULL
PF09284	Rhamnogalacturonase B, N-terminal	IPR015364	NULL
PF09285	Elongation factor P, C-terminal	IPR015365	NULL
PF09286	Pro-kumamolisin, activation domain 	IPR015366	NULL
PF09287	CEP-1, DNA binding	IPR015367	NULL
PF09288	Fungal ubiquitin-associated domain 	IPR015368	NULL
PF09289	Follistatin/Osteonectin-like EGF domain	IPR015369	NULL
PF09290	Prokaryotic acetaldehyde dehydrogenase, dimerisation	IPR015426	NULL
PF09291	Domain of unknown function (DUF1968)	IPR015370	NULL
PF09292	Endonuclease VIII-like 1, DNA bind	IPR015371	NULL
PF09293	T4 RNase H, C terminal	IPR020045	NULL
PF09294	Interferon-alpha/beta receptor, fibronectin type III	IPR015373	NULL
PF09295	ChAPs (Chs5p-Arf1p-binding proteins)	IPR015374	NULL
PF09296	NADH pyrophosphatase-like rudimentary NUDIX domain	IPR015375	NULL
PF09297	NADH pyrophosphatase zinc ribbon domain	IPR015376	NULL
PF09298	Domain of unknown function (DUF1969)	IPR015377	NULL
PF09299	Mu transposase, C-terminal	IPR015378	NULL
PF09300	Tectiviridae, minor capsid	IPR015379	NULL
PF09301	Domain of unknown function (DUF1970)	IPR015380	NULL
PF09302	XLF (XRCC4-like factor)	IPR015381	NULL
PF09303	KCNMB2, ball and chain domain	IPR015382	NULL
PF09304	Cortexillin I, coiled coil	IPR015383	NULL
PF09305	TACI, cysteine-rich domain	IPR015384	NULL
PF09306	Bacteriophage, scaffolding protein	IPR015385	NULL
PF09307	CLIP, MHC2 interacting	IPR015386	NULL
PF09308	LuxQ, periplasmic	IPR015387	NULL
PF09309	FCP1, C-terminal	IPR015388	NULL
PF09310	POU domain, class 2, associating factor 1	IPR015389	NULL
PF09311	Rabaptin-like protein	IPR015390	NULL
PF09312	SurA N-terminal domain	IPR015391	NULL
PF09313	Domain of unknown function (DUF1971)	IPR015392	NULL
PF09314	Domain of unknown function (DUF1972)	IPR015393	NULL
PF09315	Domain of unknown function (DUF1973)	IPR015394	NULL
PF09316	C-myb, C-terminal	IPR015395	NULL
PF09317	Domain of unknown function (DUF1974)	IPR015396	NULL
PF09318	Domain of unknown function (DUF1975)	IPR015397	NULL
PF09319	dead pfamnumber	NULL	NULL
PF09320	Domain of unknown function (DUF1977)	IPR015399	NULL
PF09321	Domain of unknown function (DUF1978)	IPR015400	NULL
PF09322	Domain of unknown function (DUF1979)	IPR015401	NULL
PF09323	Domain of unknown function (DUF1980)	IPR015402	NULL
PF09324	Domain of unknown function (DUF1981)	IPR015403	NULL
PF09325	Vps5 C terminal like	IPR015404	NULL
PF09326	Domain of unknown function (DUF1982)	IPR015405	NULL
PF09327	Domain of unknown function (DUF1983)	IPR015406	NULL
PF09328	Domain of unknown function (DUF1984)	IPR015407	NULL
PF09329	Primase zinc finger	IPR015408	NULL
PF09330	D-lactate dehydrogenase, membrane binding	IPR015409	NULL
PF09331	Domain of unknown function (DUF1985)	IPR015410	NULL
PF09332	Mcm10 replication factor	IPR015411	NULL
PF09333	ATG C terminal domain	IPR015412	NULL
PF09334	tRNA synthetases class I (M)	IPR015413	NULL
PF09335	SNARE associated Golgi protein	IPR015414	NULL
PF09336	Vps4 C terminal oligomerisation domain	IPR015415	NULL
PF09337	His(2)-Cys(2) zinc finger	IPR015416	NULL
PF09338	Glycine/sarcosine/betaine reductase component B subunits	IPR015417	NULL
PF09339	IclR helix-turn-helix domain	IPR005471	NULL
PF09340	Histone acetyltransferase subunit NuA4	IPR015418	NULL
PF09341	Transcription factor Pcc1	IPR015419	NULL
PF09342	Domain of unknown function (DUF1986)	IPR015420	NULL
PF09343	Conserved hypothetical protein 2217 (DUF2460)	IPR011740	NULL
PF09344	CT1975-like protein	IPR010148	NULL
PF09345	Domain of unknown function (DUF1987)	IPR018530	NULL
PF09346	SMI1 / KNR4 family (SUKH-1)	IPR018958	NULL
PF09347	Domain of unknown function (DUF1989)	IPR018959	NULL
PF09348	Domain of unknown function (DUF1990)	IPR018960	NULL
PF09349	OHCU decarboxylase	IPR018020	NULL
PF09350	Domain of unknown function (DUF1992)	IPR018961	NULL
PF09351	Domain of unknown function (DUF1993)	IPR018531	NULL
PF09352	dead pfamnumber	NULL	NULL
PF09353	Domain of unknown function (DUF1995)	IPR018962	NULL
PF09354	HNF3 C-terminal domain	IPR018533	NULL
PF09355	Phage protein Gp19/Gp15/Gp42	IPR018963	NULL
PF09356	Phage conserved hypothetical protein BR0599	IPR018964	NULL
PF09357	RteC protein	IPR018534	NULL
PF09358	Ubiquitin-activating enzyme e1 C-terminal domain	IPR018965	NULL
PF09359	VTC domain	IPR018966	NULL
PF09360	Iron-binding zinc finger CDGSH type	IPR018967	NULL
PF09361	Phasin protein	IPR018968	NULL
PF09362	Domain of unknown function (DUF1996)	IPR018535	NULL
PF09363	XFP C-terminal domain	IPR018969	NULL
PF09364	XFP N-terminal domain	IPR018970	NULL
PF09365	Conserved hypothetical protein (DUF2461)	IPR012808	NULL
PF09366	Protein of unknown function (DUF1997)	IPR018971	NULL
PF09367	CpeS-like protein	IPR018536	NULL
PF09368	Sas10 C-terminal domain	IPR018972	NULL
PF09369	Domain of unknown function (DUF1998)	IPR018973	NULL
PF09370	TIM-barrel signal transduction protein	IPR009215	NULL
PF09371	Tex-like protein N-terminal domain	IPR018974	NULL
PF09372	PRANC domain	IPR018272	NULL
PF09373	Pseudomurein-binding repeat	IPR018975	NULL
PF09374	Predicted Peptidoglycan domain	IPR018537	NULL
PF09375	Imelysin	IPR018976	NULL
PF09376	NurA domain	IPR018977	NULL
PF09377	SBDS protein C-terminal domain	IPR018978	NULL
PF09378	HAS barrel domain	IPR018538	NULL
PF09379	FERM N-terminal domain 	IPR018979	NULL
PF09380	FERM C-terminal PH-like domain	IPR018980	NULL
PF09381	Outer membrane protein G (OmpG)	IPR018981	NULL
PF09382	RQC domain	IPR018982	NULL
PF09383	NIL domain	IPR018449	NULL
PF09384	UTP15 C terminal	IPR018983	NULL
PF09385	Histidine kinase N terminal	IPR018984	NULL
PF09386	Antitoxin ParD	IPR018985	NULL
PF09387	Mitochondrial RNA binding protein MRP	IPR018539	NULL
PF09388	Spo0E like sporulation regulatory protein	IPR018540	NULL
PF09390	Protein of unknown function (DUF1999)	IPR018987	NULL
PF09391	Protein of unknown function (DUF2000)	IPR018988	NULL
PF09392	Type III secretion needle MxiH like	IPR021123	NULL
PF09393	Protein of unknown function (DUF2001)	IPR018989	NULL
PF09394	Chagasin family peptidase inhibitor I42	IPR018990	NULL
PF09396	Thrombin light chain	IPR018992	NULL
PF09397	Ftsk gamma domain	IPR018541	NULL
PF09398	FOP N terminal dimerisation domain	IPR018993	NULL
PF09399	SARS lipid binding protein	IPR018542	NULL
PF09400	Protein of unknown function (DUF2002)	IPR018994	NULL
PF09401	RNA synthesis protein NSP10	IPR018995	NULL
PF09402	Man1-Src1p-C-terminal domain	IPR018996	NULL
PF09403	Adhesion protein FadA	IPR018543	NULL
PF09404	Eukaryotic protein of unknown function (DUF2003)	IPR018544	NULL
PF09405	CASC3/Barentsz eIF4AIII binding	IPR018545	NULL
PF09406	Protein of unknown function (DUF2004)	IPR018546	NULL
PF09407	Protein of unknown function (DUF2005)	IPR018547	NULL
PF09408	Spike receptor binding domain	IPR018548	NULL
PF09409	PUB domain	IPR018997	NULL
PF09411	Lipid A 3-O-deacylase (PagL)	IPR018550	NULL
PF09412	Endoribonuclease XendoU	IPR018998	NULL
PF09413	Domain of unknown function (DUF2007)	IPR018551	NULL
PF09414	RNA ligase	IPR021122	NULL
PF09415	CENP-S associating Centromere protein X	IPR018552	NULL
PF09416	RNA helicase (UPF2 interacting domain)	IPR018999	NULL
PF09418	Protein of unknown function (DUF2009)	IPR018553	NULL
PF09419	Mitochondrial PGP phosphatase	IPR010021	NULL
PF09420	Ribosome biogenesis protein Nop16	IPR019002	NULL
PF09421	Frequency clock protein	IPR018554	NULL
PF09422	WTX protein	IPR019003	NULL
PF09423	PhoD-like phosphatase	IPR018946	NULL
PF09424	Yqey-like protein	IPR019004	NULL
PF09425	Divergent CCT motif	IPR018467	NULL
PF09426	Vacuolar R-SNARE Nyv1 N terminal	IPR019005	NULL
PF09427	Domain of unknown function (DUF2014) 	IPR019006	NULL
PF09428	Fungal protein of unknown function (DUF2011)	IPR018555	NULL
PF09429	WW domain binding protein 11	IPR019007	NULL
PF09430	Protein of unknown function (DUF2012)	IPR019008	NULL
PF09431	Protein of unknown function (DUF2013)	IPR018556	NULL
PF09432	Tho complex subunit THP2	IPR018557	NULL
PF09435	Fungal protein of unknown function (DUF2015)	IPR018559	NULL
PF09436	Domain of unknown function (DUF2016)	IPR018560	NULL
PF09437	Pombe specific 5TM protein	IPR018291	NULL
PF09438	Domain of unknown function (DUF2017)	IPR018561	NULL
PF09439	Signal recognition particle receptor beta subunit	IPR019009	NULL
PF09440	eIF3 subunit 6 N terminal domain	IPR019010	NULL
PF09441	ARS binding protein 2	IPR018562	NULL
PF09442	Domain of unknown function (DUF2018)	IPR018563	NULL
PF09443	Cripto_Frl-1_Cryptic (CFC)	IPR019011	NULL
PF09444	MRC1-like domain	IPR018564	NULL
PF09445	RNA cap guanine-N2 methyltransferase	IPR019012	NULL
PF09446	VMA21-like domain	IPR019013	NULL
PF09447	Cnl2/NKP2 family protein	IPR018565	NULL
PF09448	Methylmuconolactone methyl-isomerase 	IPR018566	NULL
PF09449	Domain of unknown function (DUF2020)	IPR018567	NULL
PF09450	Domain of unknown function (DUF2019)	IPR018568	NULL
PF09451	Autophagy-related protein 27	IPR018939	NULL
PF09452	ESCRT-I subunit Mvb12	IPR019014	NULL
PF09453	HIRA B motif	IPR019015	NULL
PF09454	Vps23 core domain	IPR017916	NULL
PF09455	CRISPR-associated (Cas) DxTHG family	IPR019016	NULL
PF09456	RcsC Alpha-Beta-Loop (ABL)	IPR019017	NULL
PF09457	FIP domain 	IPR019018	NULL
PF09458	H-type lectin domain	IPR019019	NULL
PF09459	Ethylbenzene dehydrogenase	IPR019020	NULL
PF09460	Saf-pilin pilus formation protein	IPR018569	NULL
PF09461	Phytotoxin PcF protein	IPR018570	NULL
PF09462	Mus7/MMS22 family	IPR019021	NULL
PF09463	Opy2 protein	IPR018571	NULL
PF09465	Lamin-B receptor of TUDOR domain	IPR019023	NULL
PF09466	Hypothetical protein Yqai	IPR018474	NULL
PF09467	Hypothetical protein Yopt	IPR018572	NULL
PF09468	Ydr279p protein family (RNase H2 complex component)	IPR019024	NULL
PF09469	Cordon-bleu domain	IPR019025	NULL
PF09470	Telethonin protein	IPR015667	NULL
PF09471	IgA Peptidase M64	IPR019026	NULL
PF09472	Tetrahydromethanopterin S-methyltransferase, F subunit (MtrF)	IPR013347	NULL
PF09474	Type III secretion system YscX (type_III_YscX)	IPR012672	NULL
PF09475	Dot/Icm secretion system protein (dot_icm_IcmQ)	IPR013365	NULL
PF09476	Pilus biogenesis CpaD protein (pilus_cpaD)	IPR019027	NULL
PF09477	Bacterial type II secretion system chaperone protein (type_III_yscG)	IPR013348	NULL
PF09478	Carbohydrate binding domain CBM49	IPR019028	NULL
PF09479	Listeria-Bacteroides repeat domain (List_Bact_rpt)	IPR013378	NULL
PF09480	Type III secretion system protein PrgH-EprH (PrgH)	IPR019029	NULL
PF09481	CRISPR-associated protein Cse1 (CRISPR_cse1)	IPR013381	NULL
PF09482	Bacterial type III secretion apparatus protein (OrgA_MxiK)	IPR013388	NULL
PF09483	Type III secretion protein (HpaP)	IPR013390	NULL
PF09484	CRISPR-associated protein TM1802 (cas_TM1802)	IPR013389	NULL
PF09485	CRISPR-associated protein Cse2 (CRISPR_cse2)	IPR013382	NULL
PF09486	Bacterial type III secretion protein (HrpB7)	IPR013392	NULL
PF09487	Bacterial type III secretion protein (HrpB2)	IPR013391	NULL
PF09488	Mannosyl-3-phosphoglycerate synthase (osmo_MPGsynth)	IPR012812	NULL
PF09489	Probable cobalt transporter subunit (CbtB)	IPR012667	NULL
PF09490	Probable cobalt transporter subunit (CbtA)	NULL	NULL
PF09491	AlwI restriction endonuclease	IPR018573	NULL
PF09492	Pectic acid lyase	IPR012669	NULL
PF09493	Tryptophan-rich protein (DUF2389)	IPR012663	NULL
PF09494	Slx4 endonuclease	IPR018574	NULL
PF09495	Protein of unknown function (DUF2462)	IPR019034	NULL
PF09496	Cenp-O kinetochore centromere component	IPR018464	NULL
PF09497	Transcription mediator complex subunit Med12	IPR019035	NULL
PF09498	Protein of unknown function (DUF2388)	IPR012661	NULL
PF09499	ApaLI-like restriction endonuclease	IPR019036	NULL
PF09500	Putative thioesterase (yiiD_Cterm)	IPR012660	NULL
PF09501	Probable sporulation protein (Bac_small_yrzI)	IPR012655	NULL
PF09502	Bacterial type III secretion protein (HrpB4)	IPR013393	NULL
PF09504	Bsp6I restriction endonuclease	IPR019037	NULL
PF09505	Dimethylamine methyltransferase (Dimeth_PyL)	IPR012653	NULL
PF09506	Glucosylglycerol-phosphate phosphatase (Salt_tol_Pase)	IPR012765	NULL
PF09507	DNA polymerase subunit Cdc27	IPR019038	NULL
PF09508	Lacto-N-biose phosphorylase	IPR012711	NULL
PF09509	Protein of unknown function (Hypoth_ymh)	IPR012654	NULL
PF09510	Rtt102p-like transcription regulator protein	IPR018304	NULL
PF09511	RNA ligase	IPR019039	NULL
PF09512	Thiamine-precursor transporter protein (ThiW)	IPR012652	NULL
PF09514	SSXRD motif	IPR019041	NULL
PF09515	Thiamine transporter protein (Thia_YuaJ)	IPR012651	NULL
PF09516	CfrBI restriction endonuclease	IPR019042	NULL
PF09517	Eco29kI restriction endonuclease	IPR018575	NULL
PF09518	HindIII restriction endonuclease	IPR019043	NULL
PF09519	HindVP restriction endonuclease	IPR019044	NULL
PF09520	MjaII restriction endonuclease	IPR019045	NULL
PF09521	NgoPII restriction endonuclease	IPR019046	NULL
PF09522	R.Pab1 restriction endonuclease	IPR018576	NULL
PF09523	Protein of unknown function (DUF2390)	IPR012659	NULL
PF09524	Conserved phage C-terminus (Phg_2220_C)	IPR011741	NULL
PF09526	Probable metal-binding protein (DUF2387)	IPR012658	NULL
PF09527	Putative F0F1-ATPase subunit (ATPase_gene1)	NULL	NULL
PF09528	Ehrlichia tandem repeat (Ehrlichia_rpt)	IPR019048	NULL
PF09529	Integral membrane protein (intg_mem_TP0381)	IPR011737	NULL
PF09531	Nucleoporin protein Ndc1-Nup	IPR019049	NULL
PF09532	FDF domain	IPR019050	NULL
PF09533	Predicted lipoprotein of unknown function (DUF2380)	IPR011755	NULL
PF09534	Tryptophan-associated transmembrane protein (Trp_oprn_chp)	IPR019051	NULL
PF09535	Protein of unknown function (Gmx_para_CXXCG)	IPR011750	NULL
PF09536	Protein of unknown function (DUF2378)	IPR011751	NULL
PF09537	Domain of unknown function (DUF2383)	IPR019052	NULL
PF09538	Protein of unknown function (FYDLN_acid)	IPR012644	NULL
PF09539	Protein of unknown function (DUF2385)	IPR012645	NULL
PF09543	Protein of unknown function (DUF2379)	IPR011753	NULL
PF09544	Protein of unknown function (DUF2381)	IPR011754	NULL
PF09545	AccI restriction endonuclease	IPR019054	NULL
PF09546	Stage III sporulation protein AE (spore_III_AE)	IPR014194	NULL
PF09547	Stage IV sporulation protein A (spore_IV_A)	IPR014201	NULL
PF09548	Stage III sporulation protein AB (spore_III_AB)	IPR014198	NULL
PF09549	Bpu10I restriction endonuclease	IPR018577	NULL
